Frame,CORI_Roll,CORI_Pitch,CORI_Yaw,IORI_Roll,IORI_Pitch,IORI_Yaw,CORI_Pitch_Half,GRAV_X,GRAV_Y,GRAV_Z,GRAV_Roll,GRAV_Pitch
226,-44.67,-0.97,-8.08,0.0,1.05,0.0,-0.49,373,19243,-26518,178.89,-54.03
227,-34.42,0.54,-5.55,0.0,1.61,0.0,0.27,-747,23648,-22668,-178.19,-43.77
228,-18.79,1.29,-1.92,0.0,2.83,0.0,0.65,-1497,28921,-15330,-177.04,-27.89
229,-1.37,0.54,1.82,0.0,4.47,0.0,0.27,-1402,32228,-5751,-177.51,-10.11
230,11.65,-1.42,4.89,0.0,5.99,0.0,-0.71,-557,32712,1818,-179.02,3.18
231,18.02,-3.52,6.85,0.0,6.92,0.0,-1.76,484,32312,5423,179.14,9.53
232,20.42,-4.81,7.88,0.0,7.05,0.0,-2.4,1113,32043,6758,178.01,11.9
233,20.85,-5.47,8.3,0.0,6.77,0.0,-2.73,1450,31975,7013,177.4,12.36
234,19.31,-5.57,8.37,0.0,6.16,0.0,-2.79,1506,32144,6179,177.32,10.87
235,15.12,-5.15,8.63,0.0,5.11,0.0,-2.57,1250,32520,3817,177.8,6.69
236,7.9,-3.8,8.64,0.0,3.46,0.0,-1.9,507,32763,-184,179.11,-0.32
237,-4.81,-1.16,7.79,0.0,0.88,0.0,-0.58,-946,31900,-7428,-178.3,-13.1
238,-22.32,1.08,4.54,0.0,-1.53,0.0,0.54,-2013,28035,-16841,-175.89,-30.93
239,-38.85,-0.28,-0.27,0.0,-1.96,0.0,-0.14,-774,21858,-24398,-177.97,-48.13
240,-46.67,-3.18,-4.05,0.0,-1.87,0.0,-1.59,1319,18334,-27124,175.89,-55.88
241,-47.79,-3.66,-6.32,0.0,-2.87,0.0,-1.83,1710,17862,-27416,174.53,-56.8
242,-46.66,-3.38,-7.62,0.0,-3.62,0.0,-1.69,1678,18370,-27080,174.78,-55.74
243,-42.67,-2.67,-7.7,0.0,-3.76,0.0,-1.33,1324,20169,-25790,176.24,-51.91
244,-33.06,-0.83,-6.19,0.0,-3.73,0.0,-0.42,137,24166,-22127,179.68,-42.48
245,-17.24,1.43,-2.68,0.0,-3.47,0.0,0.72,-1488,29359,-14474,-177.1,-26.21
246,-2.8,2.37,2.36,0.0,-2.66,0.0,1.18,-2498,32038,-6400,-175.54,-11.26
247,3.84,1.7,5.3,0.0,-1.67,0.0,0.85,-2346,32573,-2681,-175.88,-4.69
248,5.71,1.14,5.32,0.0,-1.01,0.0,0.57,-2038,32659,-1696,-176.43,-2.97
249,6.53,0.75,4.58,0.0,-0.49,0.0,0.38,-1749,32696,-1262,-176.94,-2.21
250,7.3,0.45,3.59,0.0,-0.07,0.0,0.22,-1497,32722,-827,-177.38,-1.45
251,7.61,0.16,2.8,0.0,0.29,0.0,0.08,-1251,32736,-657,-177.81,-1.15
252,7.22,0.18,2.21,0.0,0.31,0.0,0.09,-1221,32732,-902,-177.86,-1.58
253,6.44,0.25,1.81,0.0,0.26,0.0,0.13,-1226,32715,-1369,-177.85,-2.39
254,5.74,0.29,1.5,0.0,0.23,0.0,0.14,-1223,32696,-1770,-177.86,-3.1
255,5.02,0.31,0.72,0.0,0.26,0.0,0.16,-1170,32673,-2182,-177.95,-3.82
256,4.13,0.18,-0.74,0.0,0.47,0.0,0.09,-978,32638,-2734,-178.28,-4.79
257,3.58,-0.38,-2.69,0.0,1.05,0.0,-0.19,-472,32621,-3056,-179.17,-5.35
258,2.94,-1.11,-4.08,0.0,1.68,0.0,-0.55,66,32586,-3437,179.88,-6.02
